Parceiro;Procedimento;Valor_particular;Valor_repasse;Data da atualização;Valor_venda;Valor_Promoção;Sem_Nota;CÓDIGO
Anestesia e Serviços Médicoas LTDA;Parto Cesárea; R$ 900,00 ; R$ 900,00 ;26/06/2025;;;;Anestesia e Serviços Médicoas LTDAParto Cesárea
Anestesia e Serviços Médicoas LTDA;Mamoplastia De Aumento; R$ 2.400,00 ; R$ 2.320,00 ;;;;;Anestesia e Serviços Médicoas LTDAMamoplastia De Aumento
Anestesia e Serviços Médicoas LTDA;Mastopexia Com Prótese; R$ 3.500,00 ; R$ 3.200,00 ;;;;;Anestesia e Serviços Médicoas LTDAMastopexia Com Prótese
Anestesia e Serviços Médicoas LTDA;Mastopexia Sem Prótese; R$ 3.500,00 ; R$ 3.200,00 ;;;;;Anestesia e Serviços Médicoas LTDAMastopexia Sem Prótese
Anestesia e Serviços Médicoas LTDA;Ginecomastia; R$ 1.800,00 ; R$ 1.500,00 ;;;;;Anestesia e Serviços Médicoas LTDAGinecomastia
Anestesia e Serviços Médicoas LTDA;Ginecomastia Com Lipo De Peitoral; R$ 1.800,00 ; R$ 1.500,00 ;;;;;Anestesia e Serviços Médicoas LTDAGinecomastia Com Lipo De Peitoral
Anestesia e Serviços Médicoas LTDA;Abdominoplastia Em Ancora; R$ 2.800,00 ; R$ 2.600,00 ;;;;;Anestesia e Serviços Médicoas LTDAAbdominoplastia Em Ancora
Anestesia e Serviços Médicoas LTDA;Miniabdominoplastia; R$ 1.200,00 ; R$ 1.000,00 ;;;;;Anestesia e Serviços Médicoas LTDAMiniabdominoplastia
Anestesia e Serviços Médicoas LTDA;Lipoaspiração De Papada; R$ 1.600,00 ; R$ 1.500,00 ;;;;;Anestesia e Serviços Médicoas LTDALipoaspiração De Papada
Anestesia e Serviços Médicoas LTDA;Lipoaspiracão Pequena (Ex: Braços Ou Coxas Ou Axilas + Torax); R$ 1.600,00 ; R$ 1.500,00 ;;;;;Anestesia e Serviços Médicoas LTDALipoaspiracão Pequena (Ex: Braços Ou Coxas Ou Axilas + Torax)
Anestesia e Serviços Médicoas LTDA;Lipoaspiração De Abdome Sem Enxertia; R$ 2.600,00 ; R$ 2.400,00 ;;;;;Anestesia e Serviços Médicoas LTDALipoaspiração De Abdome Sem Enxertia
Anestesia e Serviços Médicoas LTDA;Lipoaspiração De Abdome Com Enxertia; R$ 2.600,00 ; R$ 2.400,00 ;;;;;Anestesia e Serviços Médicoas LTDALipoaspiração De Abdome Com Enxertia
Anestesia e Serviços Médicoas LTDA;Lipoaspiracão De Abdome E Dorso Sem Enxertia; R$ 2.600,00 ; R$ 2.400,00 ;;;;;Anestesia e Serviços Médicoas LTDALipoaspiracão De Abdome E Dorso Sem Enxertia
Anestesia e Serviços Médicoas LTDA;Lipoaspiracão De Abdome E Dorso Com Enxertia; R$ 2.600,00 ; R$ 2.400,00 ;;;;;Anestesia e Serviços Médicoas LTDALipoaspiracão De Abdome E Dorso Com Enxertia
Anestesia e Serviços Médicoas LTDA;Otoplastia; R$ 1.400,00 ; R$ 1.300,00 ;;;;;Anestesia e Serviços Médicoas LTDAOtoplastia
